,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,ML_model,param_C,param_max_iter,param_penalty,param_solver
19,10.892436742782593,0.5872345759145252,0.28728585243225097,0.026386506846974748,False,balanced,entropy,157,log2,15,25,899,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 157), ('max_features', 'log2'), ('min_samples_leaf', 15), ('min_samples_split', 25), ('n_estimators', 899), ('random_state', 42)])",1.663357832131303,1.6672763327334463,1.7276255236627696,1.7172562388650727,1.6889998795497643,1.692903161388471,0.02585966458185349,57,RandomForestClassifier,,,,
20,33.938022184371945,2.0988122348840275,0.6983706474304199,0.06986304413982616,False,balanced,entropy,200,sqrt,12,2,2000,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 200), ('max_features', 'sqrt'), ('min_samples_leaf', 12), ('min_samples_split', 2), ('n_estimators', 2000), ('random_state', 42)])",1.676365804350532,1.6853762149073064,1.7049960606858376,1.6930794695156568,1.693611488656275,1.6906858076231213,0.009511328382695191,63,RandomForestClassifier,,,,
21,18.080674505233766,1.1973913084983108,0.5526097774505615,0.06237399190814365,True,balanced,entropy,200,sqrt,16,24,1726,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 200), ('max_features', 'sqrt'), ('min_samples_leaf', 16), ('min_samples_split', 24), ('n_estimators', 1726), ('random_state', 42)])",1.6763931471183449,1.6957181569371895,1.726479457078095,1.6951587950287588,1.7297565674683688,1.7047012247261513,0.02037234563610972,22,RandomForestClassifier,,,,
22,19.780810260772704,1.544854949431307,0.5749596118927002,0.05088167169951164,True,balanced,entropy,122,sqrt,20,100,2000,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 122), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 100), ('n_estimators', 2000), ('random_state', 42)])",1.6458173118658737,1.6736207131008756,1.7083005138439245,1.713097587838869,1.6885469214694566,1.6858766096237996,0.024518964240972597,75,RandomForestClassifier,,,,
23,1.7900137901306152,0.14788628652085456,0.050000762939453124,0.002632011200456199,True,balanced,entropy,68,sqrt,20,100,175,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 68), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 100), ('n_estimators', 175), ('random_state', 42)])",1.6629048740509957,1.6674891403896934,1.7116049670020113,1.6982230977627857,1.6791382383680007,1.6838720635146973,0.018468884235234774,78,RandomForestClassifier,,,,
24,5.859074497222901,0.3926815052668005,0.3728055953979492,0.07643396668637611,False,balanced,entropy,1,sqrt,20,100,2000,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 100), ('n_estimators', 2000), ('random_state', 42)])",1.5004921698206333,1.4701047666997245,1.5512715882847503,1.5023313449096747,1.5801663705688012,1.5208732480567169,0.03943694381548158,98,RandomForestClassifier,,,,
25,4.653274345397949,0.41693996623588164,0.13827104568481446,0.002935883766917875,True,balanced,entropy,66,sqrt,1,2,220,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 66), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 220), ('random_state', 42)])",1.6277994579954527,1.6957181569371897,1.690547185922248,1.5796860697206805,1.5256539163909741,1.6238809573933088,0.0651491574650351,91,RandomForestClassifier,,,,
26,9.141791009902954,1.4946828876599798,0.2596242904663086,0.04735911926004117,True,balanced,gini,179,sqrt,20,2,678,42,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 179), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 2), ('n_estimators', 678), ('random_state', 42)])",1.672261838859954,1.6883614565810225,1.7208281852150331,1.6948913018368856,1.6913193554869261,1.6935324275959645,0.015690630948277724,55,RandomForestClassifier,,,,
27,31.37155499458313,4.616224857121234,0.6621983528137207,0.09238347168870178,False,balanced,gini,57,sqrt,20,86,2000,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 57), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 86), ('n_estimators', 2000), ('random_state', 42)])",1.654189299453907,1.6772200022186483,1.7255461981496676,1.7415394120426124,1.6980893511668493,1.6993168526063371,0.031613277917186926,38,RandomForestClassifier,,,,
28,0.2061906337738037,0.010968186086408753,0.01035003662109375,0.0007832655150286162,False,balanced,entropy,163,sqrt,20,15,13,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 163), ('max_features', 'sqrt'), ('min_samples_leaf', 20), ('min_samples_split', 15), ('n_estimators', 13), ('random_state', 42)])",1.5836319130906376,1.6311859394569785,1.7151222278163456,1.5624130426471243,1.6904134393263117,1.6365533124674798,0.058991949515877024,89,RandomForestClassifier,,,,
29,13.929967737197876,0.8287348399925119,0.4339912414550781,0.0509549323072583,False,balanced,gini,74,log2,20,49,1358,42,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 74), ('max_features', 'log2'), ('min_samples_leaf', 20), ('min_samples_split', 49), ('n_estimators', 1358), ('random_state', 42)])",1.6696748697309192,1.6479513229146014,1.7241599811409332,1.729677506408058,1.6831358000304553,1.6909198960449934,0.031512845599696485,62,RandomForestClassifier,,,,
